country_name,admin1_name,latitude,longitude,aggregation,indicator,value
#country,#adm1+name,#geo+lat,#geo+lon,,#indicator+name,#indicator+num
Congo,Likouala,2.93637,18.44578,none,flood,1.0
Congo,Likouala,2.93188,18.45701,none,flood,1.0
Congo,Likouala,2.91391,18.44354,none,flood,1.0
Congo,Likouala,2.91166,18.45027,none,flood,1.0
Congo,Likouala,2.90942,18.44578,none,flood,1.0
Congo,Likouala,2.90717,18.44578,none,flood,1.0
Congo,Likouala,2.90044,18.44129,none,flood,1.0
Congo,Likouala,2.88696,18.44354,none,flood,1.0
Congo,Likouala,2.87349,18.44129,none,flood,1.0
Congo,Likouala,2.76793,18.40311,none,flood,1.0
Congo,Likouala,2.76569,18.40311,none,flood,1.0
Congo,Likouala,2.74772,18.40536,none,flood,1.0
Congo,Likouala,2.74548,18.40087,none,flood,1.0
Congo,Likouala,2.73874,18.40087,none,flood,1.0
Congo,Likouala,2.73649,18.39862,none,flood,1.0
Congo,Likouala,2.73649,18.40087,none,flood,1.0
Congo,Likouala,2.73425,18.38964,none,flood,1.0
Congo,Likouala,2.73425,18.39637,none,flood,1.0
Congo,Likouala,2.73425,18.39862,none,flood,1.0
Congo,Likouala,2.732,18.39188,none,flood,1.0
Congo,Likouala,2.732,18.39413,none,flood,1.0
Congo,Likouala,2.732,18.39637,none,flood,1.0
Congo,Likouala,2.732,18.39862,none,flood,1.0
Congo,Likouala,2.72976,18.38964,none,flood,1.0
Congo,Likouala,2.72976,18.39188,none,flood,1.0
Congo,Likouala,2.72976,18.39413,none,flood,1.0
Congo,Likouala,2.72976,18.39637,none,flood,1.0
Congo,Likouala,2.72976,18.39862,none,flood,1.0
Congo,Likouala,2.72751,18.38964,none,flood,1.0
Congo,Likouala,2.72751,18.39188,none,flood,1.0
Congo,Likouala,2.72751,18.39413,none,flood,1.0
Congo,Likouala,2.72751,18.39637,none,flood,1.0
Congo,Likouala,2.72526,18.38964,none,flood,1.0
Congo,Likouala,2.72526,18.39188,none,flood,1.0
Congo,Likouala,2.72526,18.39637,none,flood,1.0
Congo,Likouala,2.72302,18.38964,none,flood,1.0
Congo,Likouala,2.72302,18.39637,none,flood,1.0
Congo,Likouala,2.71853,18.38964,none,flood,1.0
Congo,Likouala,2.71628,18.38739,none,flood,1.0
Congo,Likouala,2.71628,18.38964,none,flood,1.0
Congo,Likouala,2.71404,18.38739,none,flood,1.0
Congo,Likouala,2.71179,18.38515,none,flood,1.0
Congo,Likouala,2.69158,18.36942,none,flood,1.0
Congo,Likouala,2.68709,18.37616,none,flood,1.0
Congo,Likouala,2.68484,18.37167,none,flood,1.0
Congo,Likouala,2.68484,18.37392,none,flood,1.0
Congo,Likouala,2.68259,18.36942,none,flood,1.0
Congo,Likouala,2.68259,18.37167,none,flood,1.0
Congo,Likouala,2.68035,18.36718,none,flood,1.0
Congo,Likouala,2.68035,18.36942,none,flood,1.0
Congo,Likouala,2.68035,18.37167,none,flood,1.0
Congo,Likouala,2.6781,18.36493,none,flood,1.0
Congo,Likouala,2.6781,18.36718,none,flood,1.0
Congo,Likouala,2.6781,18.36942,none,flood,1.0
Congo,Likouala,2.67586,18.36493,none,flood,1.0
Congo,Likouala,2.67586,18.36718,none,flood,1.0
Congo,Likouala,2.67361,18.36493,none,flood,1.0
Congo,Likouala,2.67137,18.36269,none,flood,1.0
Congo,Likouala,2.66912,18.36269,none,flood,1.0
Congo,Likouala,2.66238,18.35595,none,flood,1.0
Congo,Likouala,2.66014,18.34921,none,flood,1.0
Congo,Likouala,2.66014,18.35146,none,flood,1.0
Congo,Likouala,2.66014,18.3537,none,flood,1.0
Congo,Likouala,2.65789,18.34697,none,flood,1.0
Congo,Likouala,2.65789,18.34921,none,flood,1.0
Congo,Likouala,2.65789,18.35146,none,flood,1.0
Congo,Likouala,2.65564,18.34697,none,flood,1.0
Congo,Likouala,2.6534,18.35146,none,flood,1.0
Congo,Likouala,2.6534,18.3537,none,flood,1.0
Congo,Likouala,2.65115,18.35595,none,flood,1.0
Congo,Likouala,2.64891,18.35146,none,flood,1.0
Congo,Likouala,2.64891,18.3537,none,flood,1.0
Congo,Likouala,2.64666,18.34697,none,flood,1.0
Congo,Likouala,2.64666,18.34921,none,flood,1.0
Congo,Likouala,2.64666,18.35146,none,flood,1.0
Congo,Likouala,2.64442,18.34697,none,flood,1.0
Congo,Likouala,2.64442,18.34921,none,flood,1.0
Congo,Likouala,2.64442,18.35146,none,flood,1.0
Congo,Likouala,2.64217,18.34697,none,flood,1.0
Congo,Likouala,2.64217,18.34921,none,flood,1.0
Congo,Likouala,2.63992,18.34697,none,flood,1.0
Congo,Likouala,2.63992,18.34921,none,flood,1.0
Congo,Likouala,2.59276,18.31328,none,flood,1.0
Congo,Likouala,2.59276,18.31553,none,flood,1.0
Congo,Likouala,2.59276,18.31777,none,flood,1.0
Congo,Likouala,2.59052,18.31328,none,flood,1.0
Congo,Likouala,2.59052,18.31553,none,flood,1.0
Congo,Likouala,2.59052,18.31777,none,flood,1.0
Congo,Likouala,2.58827,18.31103,none,flood,1.0
Congo,Likouala,2.58827,18.31328,none,flood,1.0
Congo,Likouala,2.58827,18.31553,none,flood,1.0
Congo,Likouala,2.57929,18.31328,none,flood,1.0
Congo,Likouala,2.57704,18.29981,none,flood,1.0
Congo,Likouala,2.57704,18.31103,none,flood,1.0
Congo,Likouala,2.57704,18.31328,none,flood,1.0
Congo,Likouala,2.5748,18.30654,none,flood,1.0
Congo,Likouala,2.5748,18.30879,none,flood,1.0
Congo,Likouala,2.5703,18.29981,none,flood,1.0
Congo,Likouala,2.56806,18.29756,none,flood,1.0
Congo,Likouala,2.56357,18.27959,none,flood,1.0
Congo,Likouala,2.56132,18.27735,none,flood,1.0
Congo,Likouala,2.55908,18.27735,none,flood,1.0
Congo,Likouala,2.55908,18.27959,none,flood,1.0
Congo,Likouala,2.55908,18.28184,none,flood,1.0
Congo,Likouala,2.55458,18.25714,none,flood,1.0
Congo,Likouala,2.55234,18.25489,none,flood,1.0
Congo,Likouala,2.55234,18.26163,none,flood,1.0
Congo,Likouala,2.55234,18.26387,none,flood,1.0
Congo,Likouala,2.55234,18.26612,none,flood,1.0
Congo,Likouala,2.55009,18.2504,none,flood,1.0
Congo,Likouala,2.55009,18.25264,none,flood,1.0
Congo,Likouala,2.55009,18.25489,none,flood,1.0
Congo,Likouala,2.55009,18.25714,none,flood,1.0
Congo,Likouala,2.54785,18.24815,none,flood,1.0
Congo,Likouala,2.54785,18.2504,none,flood,1.0
Congo,Likouala,2.54785,18.25264,none,flood,1.0
Congo,Likouala,2.5456,18.24366,none,flood,1.0
Congo,Likouala,2.54336,18.23917,none,flood,1.0
