FID,OID_,Name,FolderPath,Longitude,Latitude,Region,Country,Geomorphic,Proxies,Year,Cite,Authors,Paper_Othe,OBJECTID
110,0,Fuentes 2013,Tropic.kmz/Lugares temporales/Caribe,-70.671599999999998,18.432700000000001,Caribbean Sea (CS),Dominican Republic,Coastal Lagoon,Grain Size,2013.000000000000000,"(Fuentes, 2013)","Fuentes, Z.",Earthquake potential of The Muertos Trough: Onshore sleuthing for tsunami depostis,0
111,0,Fuentes 1 2017,Tropic.kmz/Lugares temporales/Caribe,-65.050411019999999,18.361350902000002,Caribbean Sea (CS),U.S. Virgin Islands,Pond,"Stratigraphy, Grain Size, Gastropods, Macrofossil, Organic Content",2017.000000000000000,"(Fuentes et al., 2017)","Fuentes, Z., Tuttle, M.P., Schmidt, W.E.","Sand scripts of past tsunamis in coastal ponds of St. Thomas, U.S. Virgin Islands",0
112,0,Fuentes 2 2017,Tropic.kmz/Lugares temporales/Caribe,-65.000037098999996,18.306326286000001,Caribbean Sea (CS),U.S. Virgin Islands,Pond,"Stratigraphy, Grain Size, Gastropods, Macrofossil, Organic Content",2017.000000000000000,"(Fuentes et al., 2017)","Fuentes, Z., Tuttle, M.P., Schmidt, W.E.","Sand scripts of past tsunamis in coastal ponds of St. Thomas, U.S. Virgin Islands",0
113,0,Fuentes 3 2017,Tropic.kmz/Lugares temporales/Caribe,-64.920560152999997,18.361636624999999,Caribbean Sea (CS),U.S. Virgin Islands,Swamp,"Stratigraphy, Grain Size, Gastropods, Macrofossil, Organic Content",2017.000000000000000,"(Fuentes et al., 2017)","Fuentes, Z., Tuttle, M.P., Schmidt, W.E.","Sand scripts of past tsunamis in coastal ponds of St. Thomas, U.S. Virgin Islands",0
114,0,Fuentes 4 2017,Tropic.kmz/Lugares temporales/Caribe,-64.855240287000001,18.336879758999999,Caribbean Sea (CS),U.S. Virgin Islands,Wetland,"Stratigraphy, Grain Size, Gastropods, Macrofossil, Organic Content",2017.000000000000000,"(Fuentes et al., 2017)","Fuentes, Z., Tuttle, M.P., Schmidt, W.E.","Sand scripts of past tsunamis in coastal ponds of St. Thomas, U.S. Virgin Islands",0
115,0,Fuentes 5 2017,Tropic.kmz/Lugares temporales/Caribe,-64.836687564000002,18.326302226999999,Caribbean Sea (CS),U.S. Virgin Islands,Pond,"Stratigraphy, Grain Size, Gastropods, Macrofossil, Organic Content",2017.000000000000000,"(Fuentes et al., 2017)","Fuentes, Z., Tuttle, M.P., Schmidt, W.E.","Sand scripts of past tsunamis in coastal ponds of St. Thomas, U.S. Virgin Islands",0
116,0,Paris 2017,Tropic.kmz/Lugares temporales/Caribe,-60.883297982999999,14.414757460000001,Caribbean Sea (CS),Martinique Island,Marshes,"Stratigraphy, Grain Size, Geochemistry, CT-Xray",2017.000000000000000,"(Paris et al., 2021)","Paris, R., Sabatier, P., Biguenet, M., Bougouin, A., André, G., Roger, J.","A tsunami deposit at Anse Meunier, Martinique Island: Evidence of the 1755 CE Lisbon tsunami and implication for hazard assessment.",0
117,0,Pilarczyk 2012,Tropic.kmz/Lugares temporales/Caribe,-64.351773730999994,18.737465301000000,Caribbean Sea (CS),"Anegada, British Virgin Islands",Coastal Lagoon,"Stratigraphy, Grain Size, Foraminifera",2012.000000000000000,"(Pilarczyk and Reinhardt, 2012a)","Pilarczyk, J.E., Reinhardt, E.G.","Homotrema rubrum (Lamarck) taphonomy as an overwash indicator in Marine Ponds on Anegada, British Virgin Islands",0
118,0,Reinhardt 2012,Tropic.kmz/Lugares temporales/Caribe,-64.355562857999999,18.730178736999999,Caribbean Sea (CS),"Anegada, British Virgin Islands",Coastal plain,"Grain Size, Foraminifera, Macrofossil",2012.000000000000000,"(Reinhardt et al., 2012)","Reinhardt, E.G., Pilarczyk, J., Brown, A.","Probable tsunami origin for a Shell and Sand Sheet from marine ponds on Anegada, British Virgin Islands.",0
119,0,Leal 2014,Tropic.kmz/Lugares temporales/Caribe,-64.205600000000004,10.427400000000000,Caribbean Sea (CS),Venezuela,Coastal Lagoon,"Stratigraphy, Grain Size, Geochemistry, Magnetic Susceptibility, Mineralogy",2014.000000000000000,"(Leal et al., 2014)","Leal, K., Scremin, L., Audermard, F., Carrillo, E.","Paleotsunamis en el registro geológico de Cumaná, estado Sucre, Venezuela Oriental",0
120,0,Oropeza 2015,Tropic.kmz/Lugares temporales/Caribe,-63.798299999999998,10.684200000000001,Caribbean Sea (CS),Venezuela,Coastal Lagoon,"Stratigraphy, Grain Size",2015.000000000000000,"(Oropeza et al., 2015)","Oropeza, J., Audermard, F., Beck, C., Vallée, M.","New potential sedimentary evidences of paleotsunamis on coastal lagoons of Chacopata, State of Sucre, Venezuela",0
121,0,Weiss 1979,Tropic.kmz/Lugares temporales/Caribe,-68.258799999999994,10.943899999999999,Caribbean Sea (CS),Venezuela,Coastal Lagoon,"Stratigraphy, Grain Size, Macrofossil",1979.000000000000000,"(Weiss, 1979)","Weiss, M.P.","A saline lagoon on Cayo Sal, western Venezuela",0
122,0,Dourado 2022,Tropic.kmz/Lugares temporales/Brasil,-34.827713998999997,-7.550521614000000,Western Atlantic (WA),Brazil,Littoral bar,"Stratigraphy, Grain Size, Geochemistry, Foraminifera",2022.000000000000000,"(Dourado et al., 2022)","Dourado, F., Costa, P.J., Baptista, M.A., Omira, R., Cezario, A.P., Veloso, A.V., Fatela, F.",Possible evidence of the 1755 CE transatlantic tsunami in Brazil.,0
123,0,Neng-Ti Yu 2020,Tropic.kmz/Lugares temporales/Taiwan,121.635551819000000,25.234861036600002,Western Pacific (WP),Taiwan,"Floodplain, Marshes, Terraces, Back barrier","Grain Size, Mineralogy, Sedimentary structures, Macrofossils",2020.000000000000000,"(Yu et al., 2020)","Yu, N.T., Yen, J.Y., Yen, I.C., Hirakawa, K., Chuang, C.M",Tsunami deposits and recurrence on a typhoon-prone coast of northern Taiwan from the last millennium.,1
124,0,Tri Laksono 2021,Tropic.kmz/Lugares temporales/Taiwan,121.324081043999996,22.982830423199999,Western Pacific (WP),Taiwan,Terrace,"Mineralogy, Foraminifera, Grain Size, Paleo-Bathymetry",2021.000000000000000,"(Anjar et al., 2021)","Anjar, F., Laksono, T., Tsai, L.L., Pilarczyk, J.E","The Sedimentological Record of Upper Holocene Tsunami Event in Fengbin, Taiwan",2
125,0,Neng-Ti Yu 2016,Tropic.kmz/Lugares temporales/Taiwan,121.640471370000000,25.231394707700002,Western Pacific (WP),Taiwan,"Floodplain, Marshes, Terraces, Back barrier","Grain size, Geochemistry, Magnetic Susceptibility",2016.000000000000000,"(Yu et al., 2016)","Yu, N.T., Yen, J.Y., Chen, W.S., Yen, I.C., Liu, J.H.",Geological records of western Pacific tsunamis in northern Taiwan: AD 1867 and earlier event deposits.,3
126,0,May 2015,LatMed32.kmz/Lugares temporales/Australia,114.907067936999994,-21.706690079800001,Southwest Pacific (SWP),Australia,"Estuary, Back barrier","Stratigraphy, Grain Size, Loss on Ignition, Foraminifera, Ostracods, Magnetic Susceptibility, Geochemistry",2015.000000000000000,"(May et al., 2015)","May, S.M., Brill, D., Engel, M., Scheffers, A., Pint, A., Opitz, S., Wennrich, V., Squire, P., Kelletat, D., Uckner, H.B",Traces of historical tropical cyclones and tsunamis in the Ashburton Delta (North-west Australia).,4
127,0,May 2016,LatMed32.kmz/Lugares temporales/Australia,114.048349999999999,-21.841119444200000,Southwest Pacific (SWP),Australia,Swamp,"Stratigraphy, Grain Size, Foraminifera, Ostracods, CT-XRay",2016.000000000000000,"(May et al., 2016)","May, S.M., Falvard, S., Norpoth, M., Pint, A., Brill, D., Engel, M., Scheffers, A., Dierick, M., Paris, R., Squire, P., Brückner, H.",A mid-Holocene candidate tsunami deposit from the NW Cape (Western Australia),5
128,0,Clark 2011-1,LatMed32.kmz/Lugares temporales/Australia,147.317787285000009,-43.306104593299999,Southwest Pacific (SWP),Australia,Wetland,"Stratigraphy, Macrofossils, foraminifera, and diatoms",2011.000000000000000,"(Clark et al., 2011)","Clark, K., Cochran, U., Mazengarb, C.","Holocene coastal evolution and evidence for paleotsunami from a tectonically stable region, Tasmania, Australia",6
129,0,Clark 2011-2,LatMed32.kmz/Lugares temporales/Australia,147.409210946000002,-43.009743947799997,Southwest Pacific (SWP),Australia,Coastal lagoon,"Stratigraphy, Macrofossils, foraminifera, and diatoms",2011.000000000000000,"(Clark et al., 2011)","Clark, K., Cochran, U., Mazengarb, C.","Holocene coastal evolution and evidence for paleotsunami from a tectonically stable region, Tasmania, Australia",7
130,0,Clark 2011-3,LatMed32.kmz/Lugares temporales/Australia,147.663054904000006,-42.886882029600002,Southwest Pacific (SWP),Australia,Back Barrier,"Stratigraphy, Macrofossils, foraminifera, and diatoms",2011.000000000000000,"(Clark et al., 2011)","Clark, K., Cochran, U., Mazengarb, C.","Holocene coastal evolution and evidence for paleotsunami from a tectonically stable region, Tasmania, Australia",8
131,0,Engel 2015,LatMed32.kmz/Lugares temporales/Australia,121.654086519000003,-18.803021947000001,Southwest Pacific (SWP),Australia,Estuary,"Stratigraphy, Geochemistry (Lost of ignition), Grain Size, Foraminifera, Molluscs",2015.000000000000000,"(Engel et al., 2015)","Engel, M., May, S.M., Scheffers, A., Squire, P., Pint, A., Kelletat, D., Brückner, H",Prograded foredunes of Western Australia’s macro-tidal coast - Implications for Holocene sea-level change and high-energy wave impacts.,9
132,0,Switzer 2006,LatMed32.kmz/Lugares temporales/Australia,150.868077432999996,-34.601527198100001,Southwest Pacific (SWP),Australia,Coastal lagoon,"Stratigraphy, GPR",2006.000000000000000,"(Switzer et al., 2006)","Switzer, A.D., Bristow, C.S., Jones, B.G",Investigation of large-scale washover of a small barrier system on the southeast Australian coast using ground penetrating radar,10
133,0,Switzer and Jones 2008,LatMed32.kmz/Lugares temporales/Australia,150.869171550999994,-34.601694051999999,Southwest Pacific (SWP),Australia,Coastal lagoon,"Stratigraphy, GPR, Grain Size, Mineralogy, Ostracods",2008.000000000000000,"(Switzer and Jones, 2008)","Switzer, A.D., Jones, B.G.","Large-scale washover sedimentation in a freshwater lagoon from the southeast Australian coast: Sea-level change, tsunami or exceptionally large storm?",11
134,0,Switzer 2011,LatMed32.kmz/Lugares temporales/Australia,150.166790934999995,-35.699148612300000,Southwest Pacific (SWP),Australia,Estuary,"Stratigraphy, Macrofossil, Foraminifera",2011.000000000000000,"(Switzer et al., 2011)","Switzer, A.D., Mamo, B.L., Dominey-Howes, D., Strotz, L.C., Courtney, C., Jones, B.G., Haslett, S.K., Everett, D.M.","On the possible origins of an unusual (mid to late holocene) coastal deposit, Old Punt Bay, South-East Australia",12
135,0,Switzer 2005,LatMed32.kmz/Lugares temporales/Australia,150.845683973000007,-34.615613267599997,Southwest Pacific (SWP),Australia,Estuary,"Stratigraphy, Macrofossils, Grain Size, Mineralogy",2005.000000000000000,"(Switzer et al., 2005)","Switzer, A.D., Pucillo, K., Haredy, R.A., Jones, B.G., Bryant, E.A.","Sea level, storm, or tsunami: Enigmatic sand sheet deposits in a sheltered coastal embayment from Southeastern New South Wales, Australia.",13
136,0,Bryant 1992-1,LatMed32.kmz/Lugares temporales/Australia,150.923324670000000,-34.326311010600001,Southwest Pacific (SWP),Australia,"Estuary, Marshes",Macrofossils,1992.000000000000000,"(Bryant et al., 1992a)","Bryant, E.A., Young, R.W., Price, D.M.",Evidence of tsunami sedimentation on the southeastern coast of Australia.,14
137,0,Bryant 1992-2,LatMed32.kmz/Lugares temporales/Australia,150.209987901999995,-35.694454383299998,Southwest Pacific (SWP),Australia,Terraces or coastal plain,"Stratigraphy, Macrofossils",1992.000000000000000,"(Bryant et al., 1992b)","Bryant, E.A., Young, R.W., Price, D.M., Short, S.A","Evidence for pleistocene and holocene raised marine deposits, sandon point, New South Wales",15
138,0,King 2017,LatMed32.kmz/Lugares temporales/New Zealand,174.126882813000009,-41.548823809600002,Southwest Pacific (SWP),New Zealand,Coastal lagoon,"Stratigraphy, Grain Size, Geochemistry, Diatoms, Mineralogy, Pollen",2017.000000000000000,"(King et al., 2017)","King, D.N., Goff, J.R., Chagué-Goff, C., McFadgen, B., Jacobsen, G.E., Gadd, P., Horrocks, M.","Reciting the layers: Evidence for past tsunamis at Mataora-Wairau Lagoon, Aotearoa-New Zealand.",16
139,0,King 2022,LatMed32.kmz/Lugares temporales/New Zealand,173.937712897000011,-40.747901258699997,Southwest Pacific (SWP),New Zealand,Wetland,"Stratigraphy, Grain Size, Diatoms, Geochemistry",2022.000000000000000,"(King et al., 2022)","King, D.N., Clark, K., Chagué, C., Li, X., Lane, E., McFadgen, B.G., Hippolite, J., Meihana, P., Wilson, B., Dobson, J., Geiger, P., Robb, H., Hikuroa, D., Williams, S., Morgenstern, R., Scheele, F","Tsunami or storm deposit? A late Holocene sedimentary record from Swamp Bay, Rangitoto ki te Tonga/D’Urville Island, Aotearoa–New Zealand.",17
140,0,Goff 2010,LatMed32.kmz/Lugares temporales/New Zealand,-176.804781130999999,-43.748948167899997,Southwest Pacific (SWP),New Zealand,Wetland,"Stratigraphy, LOI, Geochemistry, Pollen, Diatoms, Foraminifera",2010.000000000000000,"(Goff et al., 2010b)","Goff, J., Pearce, S., Nichol, S.L., Chagué-Goff, C., Horrocks, M., Strotz, L","Multi-proxy records of regionally-sourced tsunamis, New Zealand",18
141,0,Goff 2018,LatMed32.kmz/Lugares temporales/New Zealand,-176.243571382999988,-43.767396508700003,Southwest Pacific (SWP),New Zealand,Coastal plain,"Geomorphology, Stratigraphy, Geochemistry",2018.000000000000000,"(Goff et al., 2018)","Goff, J., Goto, K., Chagué, C., Watanabe, M., Gadd, P.S., King, D.N.",New Zealand’s most easterly palaeotsunami deposit confirms evidence for major trans-Pacific event.,19
142,0,Goff and Chagué-Goff 2012,LatMed32.kmz/Lugares temporales/New Zealand,172.738785844999995,-43.559770355300003,Southwest Pacific (SWP),New Zealand,Estuary,"Stratigraphy, Diatoms",2012.000000000000000,"(Goff and Chagué-Goff, 2012)","Goff, J., Chagué-Goff, C","A review of palaeo-tsunamis for the Christchurch region, New Zealand.",20
143,0,Chagué-Goff 2002,LatMed32.kmz/Lugares temporales/New Zealand,177.517726649999986,-39.052589480999998,Southwest Pacific (SWP),New Zealand,Coastal lagoon,"Stratigraphy, Loss on ignition (LOI), Geochemistry, Diatoms, Pollen, and dinoflagellates",2002.000000000000000,"(Chagué-Goff et al., 2002)","Chagué-Goff, C., Dawson, S., Goff, J.R., Zachariasen, J., Berryman, K.R., Garnett, D.L., Waldron, H.M., Mildenhall, D.C.","A tsunami (ca. 6300 years BP) and other Holocene environmental changes, northern Hawke’s Bay, New Zealand",21
144,0,Chagué-Goff 2000,LatMed32.kmz/Lugares temporales/New Zealand,176.882067381000013,-39.481885087400002,Southwest Pacific (SWP),New Zealand,Estuary,"Stratigraphy, Grain Size, Geochemistry, LOI",2000.000000000000000,"(Chagué-Goff et al., 2000)","Chagué-Goff, C., Nichol, S.L., Jenkinson, A. V., Heijnis, H.","Signatures of natural catastrophic events and anthropogenic impact in an estuarine environment, New Zealand",22
145,0,Judd 2017,LatMed32.kmz/Lugares temporales/New Zealand,172.660184958000002,-43.662786623700001,Southwest Pacific (SWP),New Zealand,Estuary,"Stratigraphy, Grain Size, Geochemistry, Diatoms, Content organic, LOI",2017.000000000000000,"(Judd et al., 2017)","Judd, K., Chagué-Goff, C., Goff, J., Gadd, P., Zawadzki, A., Fierro, D",Multi-proxy evidence for small historical tsunamis leaving little or no sedimentary record,23
146,0,Pizer 2021,LatMed32.kmz/Lugares temporales/New Zealand,174.160510899000002,-41.703063153099997,Southwest Pacific (SWP),New Zealand,Coastal lagoon,"Stratigraphy, Macrofossil, Foraminifera, Grain Size, CT-Xray, Diatoms (absent)",2021.000000000000000,"(Pizer et al., 2021)","Pizer, C., Clark, K., Howarth, J., Garrett, E., Wang, X., Rhoades, D., Woodroffe, S.","Paleotsunamis on the Southern Hikurangi Subduction Zone, New Zealand, Show Regular Recurrence of Large Subduction Earthquakes",24
147,0,Lange and Moon 2007,LatMed32.kmz/Lugares temporales/New Zealand,174.823687457000005,-36.365722177400002,Southwest Pacific (SWP),New Zealand,Wetland,"Stratigraphy, GPR, Geomorphology",2007.000000000000000,"(de Lange and Moon, 2007)","de Lange, W.P., Moon, V.G","Tsunami washover deposits, Tawharanui, New Zealand.",25
148,0,McFadgen and Goff 2007,LatMed32.kmz/Lugares temporales/New Zealand,174.063198785999987,-41.508507442400003,Southwest Pacific (SWP),New Zealand,Estuary,Archaeology,2007.000000000000000,"(McFadgen and Goff, 2007)","McFadgen, B.G., Goff, J.R.",Tsunamis in the New Zealand archaeological record,26
149,0,Nichol 2007,LatMed32.kmz/Lugares temporales/New Zealand,170.191884055000003,-43.205375959999998,Southwest Pacific (SWP),New Zealand,Coastal lagoon,"Stratigraphy, Grain Size, Content organic, LOI, Geochemistry, Diatoms, Foraminifera",2007.000000000000000,"(Nichol et al., 2007)","Nichol, S.L., Goff, J.R., Devoy, R.J.N., Chagué-Goff, C., Hayward, B., James, I.",Lagoon subsidence and tsunami on the West Coast of New Zealand. Sediment,27
150,0,Clark 2015,LatMed32.kmz/Lugares temporales/New Zealand,174.130140202000007,-41.549987633000001,Southwest Pacific (SWP),New Zealand,Coastal lagoon,"Stratigraphy, Foraminifera, Grain Size, Diatoms",2015.000000000000000,"(Clark et al., 2015)","Clark, K.J., Hayward, B.W., Cochran, U.A., Wallace, L.M., Power, W.L., Sabaa, A.T","Evidence for past subduction earthquakes at a plate boundary with widespread upper plate faulting: Southern hikurangi margin, new zealand.",28
151,0,Goff 2009,LatMed32.kmz/Lugares temporales/New Zealand,170.600194264999999,-45.726432271299998,Southwest Pacific (SWP),New Zealand,Littoral bar,Geomorphology,2009.000000000000000,"(Goff et al., 2009)","Goff, J.R., Lane, E., Arnold, J.",The tsunami geomorphology of coastal dunes,29
152,0,Goff 1998,LatMed32.kmz/Lugares temporales/New Zealand,175.151171648999991,-41.397130003299999,Southwest Pacific (SWP),New Zealand,Terraces,"Stratigraphy, Grain Size, Diatoms, Pollen, pumice and shells (Molluscs), Flow (Fabric)",1998.000000000000000,"(Goff et al., 1998)","Goff, J.R., Crozier, M., Sutherland, V., Cochran, U., Shane, P","Possible tsunami deposits from the 1855 earthquake, North Island, New Zealand.",30
153,0,Goff and Chagué-Goff 1999-1,LatMed32.kmz/Lugares temporales/New Zealand,173.001622384000001,-40.819911258300003,Southwest Pacific (SWP),New Zealand,Wetland,"Stratigraphy, Grain size, Organic content, Loss on ignition (LOI), Geochemistry",1999.000000000000000,"(Goff and Chagué-Goff, 1999)","Goff, J.R., Chagué-Goff, C.","A late Holocene record of environmental changes from coastal wetlands: Abel Tasman National Park, New Zealand.",31
154,0,Goff and Chagué-Goff 1999-2,LatMed32.kmz/Lugares temporales/New Zealand,172.940170391000009,-40.820451072799997,Southwest Pacific (SWP),New Zealand,Estuary,"Stratigraphy, Grain size, Organic content, Loss on ignition (LOI), Geochemistry",1999.000000000000000,"(Goff and Chagué-Goff, 1999)","Goff, J.R., Chagué-Goff, C.","A late Holocene record of environmental changes from coastal wetlands: Abel Tasman National Park, New Zealand.",32
155,0,Goff and Chagué-Goff 1999-3,LatMed32.kmz/Lugares temporales/New Zealand,172.999248060000014,-40.873446057899997,Southwest Pacific (SWP),New Zealand,Estuary,"Stratigraphy, Grain size, Organic content, Loss on ignition (LOI), Geochemistry",1999.000000000000000,"(Goff and Chagué-Goff, 1999)","Goff, J.R., Chagué-Goff, C.","A late Holocene record of environmental changes from coastal wetlands: Abel Tasman National Park, New Zealand.",33
156,0,Goff 2000,LatMed32.kmz/Lugares temporales/New Zealand,174.948152348999997,-40.826578226700001,Southwest Pacific (SWP),New Zealand,Coastal lagoon,"Stratigraphy, Foraminifera, Pollen, Macrofossil",2000.000000000000000,"(Goff et al., 2000)","Goff, J.R., Rouse, H.L., Jones, S.L., Hayward, B.W., Cochran, U., McLea, W., Dickinson, W.W., Morley, M.S","Evidence for an earthquake and tsunami about 3100-3400 yr ago, and other catastrophic saltwater inundations recorded in a coastal lagoon, New Zealand.",34
157,0,Goff 2004-2,LatMed32.kmz/Lugares temporales/New Zealand,175.610709936999996,-41.463451161400002,Southwest Pacific (SWP),New Zealand,Coastal plain,"Stratigraphy, Geomorphology, Grain Size",2004.000000000000000,"(Goff et al., 2004a)","Goff, J., McFadgen, B.G., Chagué-Goff, C.","Sedimentary differences between the 2002 Easter storm and the 15th-century Okoropunga tsunami, southeastern North Island, New Zealand.",35
158,0,Goff 2004-1,LatMed32.kmz/Lugares temporales/New Zealand,175.649427137000004,-41.439201106100001,Southwest Pacific (SWP),New Zealand,Coastal plain,"Stratigraphy, Geomorphology, Grain Size",2004.000000000000000,"(Goff et al., 2004a)","Goff, J., McFadgen, B.G., Chagué-Goff, C.","Sedimentary differences between the 2002 Easter storm and the 15th-century Okoropunga tsunami, southeastern North Island, New Zealand.",36
159,0,Goff 2004,LatMed32.kmz/Lugares temporales/New Zealand,170.179622295999991,-43.224341066599997,Southwest Pacific (SWP),New Zealand,Coastal lagoon,"Stratigraphy, Grain Size, Diatoms, Geochemistry, Geomorphology",2004.000000000000000,"(Goff et al., 2004b)","Goff, J., Wells, A., Chagué-Goff, C., Nichol, S.L., Devoy, R.J.N.","he elusive AD 1826 tsunami, South Westland, New Zealand.",37
160,0,Goff 2010,LatMed32.kmz/Lugares temporales/New Zealand,174.430157299000001,-35.430536248199999,Southwest Pacific (SWP),New Zealand,"Coastal plain, Terraces","Stratigraphy, Grain size, Loss on ignition, Geochemistry, Diatom, Pollen",2010.000000000000000,"(Goff et al., 2010a)","Goff, J., Nichol, S., Chagué-Goff Catherine, C., Horrocks, M., McFadgen, B., Cisternas, M.",Predecessor to New Zealand’s largest historic trans-South Pacific tsunami of 1868AD.,38
161,0,Ando 2018,LatMed32.kmz/Lugares temporales/Japan,124.260280053000002,24.482109974200000,Western Pacific (WP),Japan,"Coastal plain, Beach ridge (Swales)","Stratigraphy, Grain Size, Macrofossil, Coral",2018.000000000000000,"(Ando et al., 2018)","Ando, M., Kitamura, A., Tu, Y., Ohashi, Y., Imai, T., Nakamura, M., Ikuta, R., Miyairi, Y., Yokoyama, Y., Shishikura, M.",Source of high tsunamis along the southernmost Ryukyu trench inferred from tsunami stratigraphy,39
162,0,Baranes 2016-1,LatMed32.kmz/Lugares temporales/Japan,132.107127139999989,33.370006839799998,Western Pacific (WP),Japan,Pond,"Bathymetry, Stratigraphy, Geochemistry, Magnetic Susceptibility (MS), LOI, Grain Size, Minerology, CT-Xray",2016.000000000000000,"(Baranes et al., 2016)","Baranes, H.E., Woodruff, J.D., Wallace, D.J., Kanamaru, K., Cook, T.L.","Sedimentological records of the C.E. 1707 Hōei Nankai Trough tsunami in the Bungo Channel, southwestern Japan",40
163,0,Baranes 2016-2,LatMed32.kmz/Lugares temporales/Japan,132.285863102000008,33.465602365000002,Western Pacific (WP),Japan,Pond,"Bathymetry, Stratigraphy, Geochemistry, Magnetic Susceptibility (MS), LOI, Grain Size, Minerology, CT-Xray",2016.000000000000000,"(Baranes et al., 2016)","Baranes, H.E., Woodruff, J.D., Wallace, D.J., Kanamaru, K., Cook, T.L.","Sedimentological records of the C.E. 1707 Hōei Nankai Trough tsunami in the Bungo Channel, southwestern Japan",41
164,0,Baranes 2016-3,LatMed32.kmz/Lugares temporales/Japan,132.360036350999991,33.372424638399998,Western Pacific (WP),Japan,Pond,"Bathymetry, Stratigraphy, Geochemistry, Magnetic Susceptibility (MS), LOI, Grain Size, Minerology, CT-Xray",2016.000000000000000,"(Baranes et al., 2016)","Baranes, H.E., Woodruff, J.D., Wallace, D.J., Kanamaru, K., Cook, T.L.","Sedimentological records of the C.E. 1707 Hōei Nankai Trough tsunami in the Bungo Channel, southwestern Japan",42
165,0,Bellanova 2021,LatMed32.kmz/Lugares temporales/Japan,141.431341295999999,40.679961250100000,Western Pacific (WP),Japan,Coastal dune,"Stratigraphy, grain size, Geochemistry",2021.000000000000000,"(Bellanova et al., 2021)","Bellanova, P., Frenken, M., Nishimura, Y., Schwarzbauer, J., Reicherter, K.",Tracing woody-organic tsunami deposits of the 2011 Tohoku-oki event in Misawa (Japan),43
166,0,Fujiwara and Kamataki 2007,LatMed32.kmz/Lugares temporales/Japan,139.836732885000004,34.923957169099999,Western Pacific (WP),Japan,Terraces,"Stratigraphy, Sedimentary structures",2007.000000000000000,"(Fujiwara and Kamataki, 2007)","Fujiwara, O., Kamataki, T.","Identification of tsunami deposits considering the tsunami waveform: An example of subaqueous tsunami deposits in Holocene shallow bay on southern Boso Peninsula, Central Japan. Sediment.",44
167,0,Fujiwara 2000-2,LatMed32.kmz/Lugares temporales/Japan,139.628599489999999,35.183163412399999,Western Pacific (WP),Japan,Terraces,"Stratigraphy, Macrofossil, Ostracods, Grain Size",2000.000000000000000,"(Fujiwara et al., 2000)","Fujiwara, O., Masuda, F., Sakai, T., Irizuki, T., Fuse, K","Tsunami deposits in Holocene bay mud in southern Kanto region, Pacific coast of central Japan",45
168,0,Fujiwara 2000,LatMed32.kmz/Lugares temporales/Japan,139.866659282999990,35.010737025099999,Western Pacific (WP),Japan,Terraces,"Stratigraphy, Macrofossil, Ostracods, Grain Size",2000.000000000000000,"(Fujiwara et al., 2000)","Fujiwara, O., Masuda, F., Sakai, T., Irizuki, T., Fuse, K","Tsunami deposits in Holocene bay mud in southern Kanto region, Pacific coast of central Japan",46
169,0,Fujiwara 2016,LatMed32.kmz/Lugares temporales/Japan,138.724301075999989,35.148783950199999,Western Pacific (WP),Japan,Coastal plain,"Stratigraphy, Grain Size, Pollen, Diatoms",2016.000000000000000,"(Fujiwara et al., 2016)","Fujiwara, O., Fujino, S., Komatsubara, J., Morita, Y., Namegaya, Y",Paleoecological evidence for coastal subsidence during five great earthquakes in the past 1500 years along the northern onshore continuation of the Nankai subduction zone,47
170,0,Fujiwara 2019,LatMed32.kmz/Lugares temporales/Japan,137.894733277000000,34.684222759900003,Western Pacific (WP),Japan,"Alluvial plain, River overbanks","Stratigraphy, Geochemistry, Grain Size, Mineralogy",2019.000000000000000,"(Fujiwara et al., 2019)","Fujiwara, O., Aoshima, A., Irizuki, T., Ono, E., Obrochta, S.P., Sampei, Y., Sato, Y., Takahashi, A.","Tsunami deposits refine great earthquake rupture extent and recurrence over the past 1300 years along the Nankai and Tokai fault segments of the Nankai Trough, Japan",48
171,0,Fujita 2020,LatMed32.kmz/Lugares temporales/Japan,124.688449305000006,24.757554252199999,Western Pacific (WP),Japan,Coastal plain,"Stratigraphy, Grain size, GPR, Plant Macrofossil",2020.000000000000000,"(Fujita et al., 2020)","Fujita, R., Goto, K., Iryu, Y., Abe, T.","Millennial paleotsunami history at Minna Island, southern Ryukyu Islands, Japan",49
172,0,Fujino 2018,LatMed32.kmz/Lugares temporales/Japan,136.884956321999994,34.314251033900000,Western Pacific (WP),Japan,Wetland,"Stratigraphy, CT-Xray",2018.000000000000000,"(Fujino et al., 2018)","Fujino, S., Kimura, H., Komatsubara, J., Matsumoto, D., Namegaya, Y., Sawai, Y., Shishikura, M.",Stratigraphic evidence of historical and prehistoric tsunamis on the Pacific coast of central Japan: Implications for the variable recurrence of tsunamis in the Nankai Trough,50
173,0,Goto 2015,LatMed32.kmz/Lugares temporales/Japan,141.987701979999997,39.756137934800002,Western Pacific (WP),Japan,Marshes,"Stratigraphy, Grain Size, Diatoms, Cocoliths",2015.000000000000000,"(Goto et al., 2015)","Goto, T., Satake, K., Sugai, T., Ishibe, T., Harada, T., Murotani, S.","Historical tsunami and storm deposits during the last five centuries on the Sanriku coast, Japan",51
